County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,% Non-Hispanic White,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.26,0.029,31784,317,180,1.8,0.34,0.22,0.024,23710,236,148,1.5,1394632,13892,25182,251,3,0,SustainedHotspot,Recent,High,High,0.037,697820,6951,,,-0.003,-0.08,,,0.039,757825,7549,,,1320,7.4,712,4,0.8,0.1,0.78,0.21,0.29,0.06,-0.04,0,0,0.02,0.02,0.02,0.01,91,17937,2109,5193,0.95,0.92,0.98,0.95,6583983,0.656,5654164,0.563,81603,0.009,14958,0.021,66645,0.008,5261,0.004,-0.0005,-0.0022,-0.0003,0.0002,6565810,0.762,5642574,0.655,463367,0.639,375835,0.518,6102443,0.773,5266739,0.667,1233076,0.872,1062692,0.752,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.77,0.49,Likely Decreasing
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.29,0.023,25141,533,177,3.8,0.74,0.59,0.015,14445,306,111,2.4,486701,10326,7091,150,6,0,SustainedHotspot,Continuing,High,High,0.174,111744,2371,1,0.97,-0.015,0.02,0,-0.01,0.189,110054,2335,1,0.98,2101,19.1,911,8.3,0.93,0.26,0.95,0.46,0.52,0.16,0.01,0.02,0.03,0.02,0.06,0.03,0.03,50,11015,1346,3187,0.92,0.9,0.96,0.92,,,,,0,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.72,0.56,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.13,0.018,20033,737,0,0,-0.07,,0.022,21655,797,0,0,610802,22481,6472,238,1,0,SustainedHotspot,,High,High,0.129,161985,5962,,,-0.015,-0.04,,,0.143,169505,6239,,,1416,23.2,319,5.2,0.88,0.3,0.84,0.43,0.42,0.18,-0.12,-0.01,0.01,-0.03,0.03,0.01,0.01,22,6092,935,1989,1,0.91,1,1,2222924,0.818,1792626,0.66,40395,0.017,6639,0.036,33756,0.016,3343,,-0.0044,-0.0135,-0.0036,0,2221799,0.946,1792047,0.763,135675,0.744,85226,0.467,2086124,0.963,1706821,0.788,465535,0.999,389473,0.861,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.82,0.81,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.55,0.014,14808,330,91,2,0.05,0.72,0.014,14040,313,53,1.2,631156,14071,10705,239,0,0,SustainedHotspot,,High,High,0.107,140147,3125,1,0.98,-0.007,0.15,0,-0.01,0.114,121557,2710,1,0.99,837,8.1,946,9.2,0.71,0.11,0.62,0.2,0.39,0.13,0.08,0.01,0.01,0.02,0.03,0.02,0.02,42,10325,1439,1703,1,0.98,1,1,2369085,0.528,1986246,0.443,31955,0.008,6209,0.017,25746,0.007,2192,0.003,-0.0004,0.0004,-0.0005,-0.0001,2368824,0.624,1986195,0.523,154796,0.424,117012,0.32,2214028,0.645,1869183,0.544,602993,0.866,514219,0.738,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.64,0.22,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.35,0.012,13536,693,0,0,-0.08,,0.015,14666,751,0,0,312184,15987,3079,158,3,0,SustainedHotspot,,High,High,0.198,101082,5176,,,-0.009,-0.06,,,0.207,107456,5503,,,1483,31.4,251,5.3,0.84,0.34,0.92,0.54,0.52,0.24,-0.14,-0.01,0,0,0.03,0,0.03,15,4721,590,1060,1,0.93,1,1,1339456,0.686,1085231,0.556,21297,0.013,2818,0.02,18479,0.012,2209,0.007,-0.0066,-0.0251,-0.0049,-0.001,1338884,0.796,1085161,0.645,86499,0.619,60484,0.433,1252385,0.812,1024677,0.664,327195,0.978,273729,0.818,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.58,0.61,Uncertain
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.48,0.01,11263,765,0,0,0.03,,0.011,10981,746,0,0,195047,13251,1832,124,3,0,SustainedHotspot,,High,High,0.196,46490,3158,,,-0.016,0.05,,,0.212,44459,3020,,,1132,27.8,161,3.9,0.89,0.26,0.85,0.45,0.42,0.18,0,0,0.02,0.01,0.08,0.03,0.04,12,4079,548,709,1,0.92,1,1,857318,0.582,688895,0.468,14695,0.012,2238,0.021,12457,0.011,1183,0.006,-0.0033,-0.0043,-0.0032,-0.0009,857146,0.683,688872,0.549,51492,0.475,37538,0.346,805654,0.703,651334,0.568,208520,0.974,161388,0.754,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.5,Likely Decreasing
"Palm Beach County, FL",12099,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1496770,0.243,0.07,0.005,1,24036,0.016,0.54,0.009,9294,621,0,0,0.01,,0.009,9170,613,0,0,191819,12816,2883,193,3,0,SustainedHotspot,,High,High,0.191,62548,4179,,,-0.022,0.07,,,0.213,58505,3909,,,914,25.1,66,1.8,0.87,0.27,0.82,0.49,0.37,0.18,-0.12,-0.01,0.01,0.02,0.02,0,0.01,15,3641,475,756,1,0.93,1,1,945127,0.631,800339,0.535,15893,0.012,2032,0.021,13861,0.011,2987,0.008,-0.0022,-0.0061,-0.0019,0.0011,944816,0.72,800294,0.61,49133,0.497,35270,0.357,895683,0.738,765024,0.631,332155,0.911,294527,0.808,0.14,0.13,0.24,2.6,0.19,0.23,0,0.03,0.56,0.4,Uncertain
"Orange County, FL",12095,Large central metro,"Orlando-Kissimmee-Sanford, FL",Metropolitan,FL,4,1393452,0.534,0.065,0.004,1,50190,0.036,0.39,0.008,8946,642,0,0,-0.06,,0.01,9533,684,0,0,193037,13853,1310,94,0,0,SustainedHotspot,,High,High,0.182,40751,2924,,,-0.016,0.01,,,0.198,40539,2909,,,1142,23,456,9.2,0.91,0.3,1.02,0.68,0.63,0.31,-0.02,0,0.01,0.01,0.03,0.03,0.04,7,4957,501,846,1,0.86,1,1,899403,0.645,750829,0.539,16106,0.014,2380,0.023,13726,0.013,1252,0.007,-0.003,-0.0073,-0.0026,0.0005,896800,0.753,750412,0.63,65855,0.64,45775,0.445,830945,0.764,704637,0.648,163987,0.956,146451,0.854,0.15,0.16,0.12,2.8,0.2,0.33,0,0.05,0.67,0.55,Likely Decreasing
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.27,0.008,8806,440,112,5.6,-0.21,0.49,0.011,11176,558,75,3.7,277776,13864,3926,196,1,0,SustainedHotspot,Recent,High,High,0.145,76737,3830,1,0.98,-0.058,0.25,0,0,0.203,61207,3055,1,0.98,1063,16.3,285,4.4,0.67,0.18,0.92,0.5,0.53,0.16,-0.14,0.01,0.02,-0.02,0.03,0.03,0.01,18,6531,688,1621,1,1,1,1,,,,,0,,,,,,,,,,,,0,,0,0,,,,,,,,,,,,,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.83,0.37,Likely Decreasing
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.45,0.008,8694,260,30,0.9,-0.03,0.67,0.009,8986,269,18,0.5,328276,9834,3869,116,0,0,SustainedHotspot,,High,High,0.076,123115,3688,,,-0.006,0.01,,,0.082,121701,3646,,,513,8.9,173,3,0.77,0.11,0.8,0.26,0.27,0.08,0.02,0.01,0.02,0.01,0.05,0.01,0.02,20,5746,628,1464,1,0.95,1,1,3126418,0.937,1545252,0.463,37998,0,5489,0.024,32509,,6207,,0,-0.0038,0,0,3118524,0.999,1541679,0.54,197459,0.848,107914,0.463,2921065,0.999,1433765,0.547,702338,0.999,296515,0.612,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.28,Uncertain
