County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Chester County, PA",42029,Large fringe metro,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan,PA,3,524989,0.086,0.041,0.002,1,17744,0.034,0.029,3113,593,17,3.2,4.79,1.83,0.004,538,102,6,1.1,40698,7752,818,156,3,0,Hotspot,Recent,High,High,0.016,5885,1121,1,0.96,-0.011,-0.27,0,-0.02,0.026,8062,1536,1,0.98,22,3,41,6,0.71,0.02,0.42,0.04,0.08,0.01,0.21,-0.09,-0.03,0,-0.13,-0.03,-0.04,-0.02,5,729,96,124,1,1,1,1,407184,0.776,238211,0.454,1835,0.042,6915,0.017,726,,-0.0391,-0.0098,0,21400,0.495,5914,0.137,385743,0.948,232292,0.571,104835,0.999,68678,0.777,0.06,0.07,0.17,2.6,0.06,0.08,0,0.06,0.14,0.15,Uncertain
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.021,2225,82,48,1.8,0,-0.13,0.015,2229,82,55,2,502548,18497,6472,238,0,41,HighBurdenResolving,,Substantial,Substantial,0.041,93773,3451,,,-0.008,-0.09,,,0.05,103196,3798,,,220,4,79,1,0.81,0.05,0.75,0.09,0.26,0.03,-0.33,0.01,-0.02,-0.01,-0.02,-0.01,0,0,22,6090,985,1876,1,0.95,1,1,1622050,0.597,1235777,0.455,5789,0.032,52777,0.024,3663,0.008,-0.0119,-0.003,-0.0022,47639,0.261,15810,0.087,1573993,0.726,1219877,0.563,425456,0.94,346472,0.766,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.82,0.81,Uncertain
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.018,1931,43,42,0.9,-0.36,-0.29,0.021,3032,68,59,1.3,551998,12307,10111,225,0,21,HighBurdenResolving,,Moderate,Substantial,0.045,50798,1133,1,0.99,-0.003,-0.1,0,0,0.048,56582,1261,1,0.99,232,2,550,5,0.65,0.02,0.49,0.05,0.29,0.03,-0.11,0.06,-0.01,0,0,-0.01,0.01,0,42,10037,1436,1617,1,0.98,1,1,1967726,0.439,1511710,0.337,8524,0.023,28351,0.008,2784,0.004,-0.0092,-0.0025,-0.0013,74193,0.203,29040,0.08,1893384,0.552,1482647,0.432,571339,0.82,473063,0.679,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.64,0.22,Uncertain
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.015,1622,31,72,1.4,-0.42,0,0.019,2795,54,72,1.4,554813,10773,10357,201,0,43,ModerateBurdenResolving,,Moderate,Substantial,0.017,110882,2153,0,0.98,-0.006,-0.13,0,0,0.023,127775,2481,0,0.98,296,2,1099,8,0.71,0.03,0.65,0.07,0.28,0.03,-0.3,-0.03,-0.03,-0.01,-0.04,-0.02,0,0,52,14254,1756,3133,1,0.96,1,1,3011381,0.585,2172055,0.422,11451,0.031,38954,0.01,3157,0.004,-0.038,-0.0097,-0.0057,143735,0.386,44765,0.12,2861049,0.709,2126941,0.527,654076,0.843,522517,0.673,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.68,0.73,Uncertain
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.014,1446,31,38,0.8,-0.28,-0.17,0.014,2010,43,46,1,401469,8518,6474,137,0,86,ModerateBurden,,Moderate,Moderate,0.041,43532,924,1,0.98,-0.004,-0.08,0,0,0.045,47511,1008,1,0.98,279,2,486,4,0.8,0.04,0.79,0.1,0.37,0.03,-0.21,-0.24,-0.01,0,0,-0.01,-0.01,0,51,12062,1349,3096,0.94,0.9,0.96,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.72,0.56,Likely Decreasing
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,2266715,1,0.736,0.007,1,21541,0.01,0.014,1438,63,14,0.6,0.22,-0.53,0.008,1181,52,30,1.3,252450,11137,4420,195,0,20,EmergingHotspot,,Substantial,Substantial,0.037,20957,925,1,0.98,0.001,-0.15,0,0,0.036,24517,1082,1,0.99,130,2,281,5,0.71,0.03,0.73,0.08,0.28,0.02,-0.22,0.03,0,0,-0.02,-0.01,0,-0.01,26,5577,625,1046,0.96,0.92,1,0.96,974199,0.43,776939,0.343,3447,0.02,13452,0.008,1135,0.003,-0.0094,-0.005,-0.0023,29849,0.17,9690,0.055,944330,0.541,767245,0.439,264461,0.772,228428,0.667,0.13,0.14,0.15,2.8,0.12,0.32,0,0.1,0.74,0.63,Likely Decreasing
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.012,1287,64,12,0.6,0.04,-0.29,0.008,1234,62,17,0.8,224185,11189,3583,179,0,35,EmergingHotspot,,Substantial,Substantial,0.012,50929,2542,1,1,-0.004,-0.06,0,0,0.016,54318,2711,1,1,111,2,96,2,0.62,0.02,0.85,0.1,0.35,0.02,-0.19,0.07,0.02,0,-0.05,-0.01,-0.03,0,18,6272,596,1428,1,0.94,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.83,0.37,Uncertain
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.012,1245,85,8,0.5,0.1,-0.64,0.008,1136,77,22,1.5,143980,9781,1832,124,0,37,HighBurdenResolving,,Substantial,Substantial,0.038,21961,1492,,,-0.001,-0.02,,,0.038,22476,1527,,,197,5,118,3,0.78,0.04,0.75,0.07,0.25,0.03,-0.1,-0.13,-0.02,0,0.01,-0.01,0.01,0,12,4098,528,638,1,0.92,1,1,691503,0.47,524986,0.357,3088,0.028,11224,0.01,954,0.004,-0.0037,-0.0037,-0.002,21647,0.2,7603,0.07,669721,0.584,517369,0.451,196535,0.918,146806,0.686,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.5,Uncertain
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.031,11,260018,0.026,0.011,1205,12,43,0.4,-0.76,-0.76,0.035,5105,51,177,1.8,1244917,12401,24400,243,4,0,Hotspot,Recent,Moderate,Substantial,,377473,3760,,,,-0.1,,,0.003,417750,4161,,,309,2,452,3,0.74,0.02,0.66,0.02,0.22,0.01,-0.01,-0.01,-0.01,0,-0.01,-0.01,0,0,90,17421,2049,5227,0.96,0.93,0.99,0.96,5506940,0.549,4501473,0.448,25097,0.035,85160,0.011,7082,0.005,-0.02,-0.0021,-0.0009,255316,0.352,112436,0.155,5240784,0.664,4387947,0.556,1146477,0.811,983400,0.696,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.77,0.49,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.009,1000,51,10,0.5,-0.13,-0.47,0.008,1156,59,19,1,245552,12574,3079,158,0,42,EmergingHotspot,,Substantial,Substantial,0.046,43409,2223,,,0.001,-0.13,,,0.045,49669,2544,,,211,5,67,1,0.76,0.05,0.76,0.11,0.35,0.05,-0.09,-0.18,0,-0.01,-0.02,-0.02,0,0,15,4599,498,970,1,1,1,1,1048242,0.537,801711,0.411,4431,0.032,23276,0.015,2141,0.006,-0.0106,-0.0043,-0.0015,36077,0.258,12430,0.089,1011673,0.656,789240,0.512,304344,0.91,248462,0.743,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.58,0.61,Likely Decreasing
