County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.016,9877,220,140,3.1,-0.15,-0.26,0.017,11687,261,188,4.2,715923,15961,11781,263,0,33,SustainedHotspot,,High,High,0.107,99602,2221,1,0.99,0.001,-0.09,0,0,0.106,110040,2453,1,0.99,745,7.3,0.73,0.1,0.63,0.17,0.4,0.11,-0.08,0,0,-0.01,-0.01,-0.01,0,42,10247,1451,1715,1,0.98,1,1,2542133,0.567,2197628,0.49,16159,0.004,2000,0.005,14159,0.004,2510,0.004,-0.0013,-0.0008,-0.0013,-0.0015,2541808,0.669,2197564,0.579,181753,0.498,151208,0.414,2360055,0.687,2046356,0.596,619668,0.89,541039,0.777,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.012,7068,70,125,1.2,-0.15,-0.16,0.012,8268,82,148,1.5,1474518,14688,26379,263,0,44,ModerateBurdenResolving,,Substantial,Substantial,0.01,931140,9275,,,-0.001,0.03,,,0.011,905498,9020,,,485,2.8,0.77,0.04,0.73,0.1,0.26,0.03,0,0,-0.01,0,-0.01,-0.01,0,91,17550,2030,5084,0.95,0.92,0.98,0.95,7002959,0.698,6097781,0.607,59841,0.007,10071,0.014,49770,0.006,5306,0.004,-0.0011,-0.0009,-0.0011,-0.0024,6984443,0.81,6086141,0.706,533897,0.736,452912,0.625,6450546,0.817,5633229,0.714,1268538,0.897,1099922,0.778,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.009,5336,113,229,4.9,-0.26,-0.02,0.011,7239,154,233,4.9,568238,12056,8758,186,0,37,SustainedHotspot,,High,High,0.078,82685,1754,1,0.98,-0.01,-0.14,0,0,0.088,95639,2029,1,0.98,650,5.8,0.91,0.11,0.93,0.25,0.44,0.09,-0.22,0,-0.03,0.02,-0.06,-0.04,-0.02,51,11147,1376,3316,0.92,0.86,0.96,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.724,0.557
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.008,4895,95,61,1.2,-0.19,0.09,0.009,6071,118,56,1.1,630542,12243,11157,217,0,24,ModerateBurdenResolving,,Substantial,High,0.02,286283,5559,1,0.98,0,0.01,0,0.02,0.02,284294,5520,1,0.96,402,2.9,0.75,0.04,0.7,0.08,0.3,0.02,0.05,0,0,-0.02,-0.01,-0.01,-0.01,52,14022,1652,3136,1,0.96,1,1,3748248,0.728,2912989,0.566,15182,0.003,1270,0.003,13912,0.003,2999,0.004,-0.0052,-0.005,-0.0052,-0.0062,3736528,0.847,2906435,0.659,281169,0.754,201729,0.541,3455359,0.856,2704706,0.67,721800,0.93,583877,0.752,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Tarrant County, TX",48439,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,2102515,0.278,0.073,0.006,2,36456,0.017,0.007,4266,203,106,5,-0.21,-0.14,0.008,5411,257,123,5.9,355427,16905,4516,215,0,19,SustainedHotspot,,High,High,0.108,38511,1832,1,0.99,-0.011,-0.06,0,0,0.119,40841,1942,1,0.99,447,10.5,0.89,0.14,0.96,0.34,0.43,0.08,-0.13,0,-0.03,-0.01,-0.06,-0.04,-0.03,28,4255,463,1467,0.96,0.96,0.96,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,0.12,2.9,0.17,0.29,0,0.06,0.548,0.343
"Dallas County, TX",48113,Large central metro,"Dallas-Fort Worth-Arlington, TX",Metropolitan,TX,6,2635516,0.348,0.091,0.008,2,40184,0.015,0.007,4199,159,111,4.2,-0.24,-0.13,0.008,5545,210,127,4.8,398157,15107,5113,194,0,22,SustainedHotspot,,High,High,0.081,49215,1867,1,0.98,-0.007,-0.13,0,-0.01,0.088,56262,2135,1,0.99,364,5.9,0.91,0.1,0.92,0.26,0.44,0.06,-0.23,0,-0.02,-0.02,-0.04,-0.03,-0.01,31,6163,791,2109,1,0.94,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.17,0.11,2.8,0.23,0.41,0,0.07,0.754,0.6
"Kings County, NY",36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2559903,0.133,0.132,0.008,0,15416,0.006,0.006,3346,131,30,1.2,-0.22,0.5,0.006,4304,168,20,0.8,330557,12913,10833,423,0,2,SustainedHotspot,,High,High,0.023,177345,6928,1,0.96,0,-0.01,0,-0.01,0.023,178822,6985,1,0.97,94,2.5,0.79,0.04,0.8,0.07,0.17,0.01,-0.26,0.01,0,0.01,-0.02,0,-0.01,13,3752,332,1169,1,0.92,1,1,1688316,0.66,1480005,0.578,28089,0.013,2777,0.016,25312,0.013,2516,0.007,0.0051,0.007,0.0049,0.0028,1688056,0.784,1479877,0.687,105385,0.606,88807,0.51,1582671,0.8,1391070,0.703,285519,0.776,257096,0.699,0.08,0.21,0.14,2.7,0.3,0.19,0,0.12,0.815,0.912
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,2266715,1,0.736,0.007,1,21541,0.01,0.005,3330,147,116,5.1,0.22,0.84,0.004,2721,120,63,2.8,326283,14395,5830,257,0,59,SustainedHotspot,,High,High,0.077,24442,1078,1,0.96,-0.002,-0.47,0,0,0.079,46532,2053,1,0.97,361,6.2,0.79,0.09,0.85,0.2,0.36,0.08,-0.19,-0.01,-0.01,0,-0.02,0.01,-0.02,26,5786,660,1149,0.96,0.92,1,0.96,1333488,0.588,1103101,0.487,10657,0.006,858,0.005,9799,0.006,2025,0.006,-0.0019,-0.0023,-0.0019,-0.0041,1333455,0.694,1103092,0.574,92565,0.527,68739,0.391,1240890,0.711,1034353,0.592,294911,0.861,254089,0.742,0.13,0.14,0.15,2.8,0.12,0.32,0,0.1,0.74,0.634
"Wayne County, MI",26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1749343,0.405,0.175,0.005,1,25758,0.015,0.005,3325,190,41,2.3,0.02,-0.16,0.005,3252,186,49,2.8,192726,11017,5492,314,0,0,Hotspot,,High,High,0.035,98227,5615,0,0.98,-0.005,0.4,0,0,0.04,70018,4003,0,0.98,218,5.1,0.84,0.07,0.79,0.14,0.34,0.04,0.06,0.01,0.01,0.03,0.03,0.01,0.01,18,4284,557,1123,1,0.94,1,1,922581,0.527,839397,0.48,5103,0.003,413,0.003,4690,0.004,728,0.003,-0.0485,-0.1568,-0.0372,-0.0279,922504,0.625,839382,0.569,52418,0.378,49114,0.355,870086,0.651,790268,0.591,232141,0.839,214911,0.777,0.07,0.23,0.16,2.6,0.38,0.06,0,0.04,0.872,0.72
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.005,3286,98,40,1.2,-0.05,0.21,0.005,3456,104,33,1,363169,10879,4151,124,0,41,SustainedHotspot,,Substantial,High,0.028,133193,3990,,,0,-0.05,,,0.028,140937,4222,,,201,3.5,0.74,0.05,0.73,0.13,0.26,0.04,-0.06,-0.01,-0.01,0,-0.02,0,-0.01,20,5732,624,1453,1,0.95,1,1,3384352,0.999,1698458,0.509,40851,,2205,0.009,38646,,15041,,0,-0.0014,0,0,3376370,0.999,1694832,0.593,221719,0.952,130204,0.559,3154651,0.999,1564628,0.596,771578,0.999,309055,0.638,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.277
