County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 5-11,People initiating vaccination as % of population - last 7 days - ages 5-11,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 5-11,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 5-11,People with at least 1 dose as % of population - ages 5-11,People who are fully vaccinated - ages 5-11,People who are fully vaccinated as % of population - ages 5-11,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.03,29399,293,432,4.3,-0.53,-0.15,0.041,62441,622,507,5.1,2757043,27463,29691,296,0,14,SustainedHotspot,,High,High,0.033,735667,7328,,,-0.02,0.44,,,0.053,509523,5075,,,1595,8.8,0.8,0.12,0.78,0.21,-0.24,0,-0.04,-0.03,-0.06,91,18091,2115,0.95,0.95,0.98,0.95,7984719,0.795,7099454,0.707,6740,0.008,21877,0.003,2295,0.003,19582,0.002,2121,0.002,-0.0023,-0.0007,-0.0007,-0.0007,-0.0005,319711,0.381,249554,0.297,7662230,0.889,6848915,0.795,632841,0.873,569776,0.786,7029389,0.89,6279139,0.795,1331425,0.942,1199392,0.848,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.024,24188,890,160,5.9,0.49,-0.33,0.011,16208,597,238,8.8,1168806,43019,10153,374,0,24,SustainedHotspot,,High,High,0.081,120351,4430,,,-0.039,-0.13,,,0.12,138218,5087,,,389,5.5,0.79,0.07,0.72,0.1,-0.4,-0.01,-0.03,-0.03,-0.05,23,7074,1049,1,1,1,1,2773925,0.95,2257944,0.831,1288,0.006,10563,0.004,553,0.003,10010,0.005,639,0.001,-0.0012,-0.0009,-0.0008,-0.0009,-0.0004,61464,0.292,42343,0.201,2711284,0.95,2214992,0.943,176463,0.95,134285,0.737,2534821,0.95,2080707,0.95,525410,0.95,438295,0.95,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.818,0.814
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.014,14333,320,221,4.9,-0.45,-0.18,0.017,26032,580,268,6,1234151,27515,15321,342,0,11,SustainedHotspot,,High,High,0.166,83996,1873,1,0.99,-0.077,-0.34,0,0,0.243,127030,2832,1,0.99,1319,13.1,0.79,0.13,0.75,0.19,-0.21,0,-0.04,0,-0.06,42,10087,1155,1,1,1,1,2946265,0.657,2502512,0.558,2576,0.006,8345,0.002,1222,0.003,7123,0.002,780,0.001,-0.0021,-0.0005,-0.0009,-0.0005,-0.0004,104791,0.255,66992,0.163,2841190,0.748,2435489,0.641,214609,0.588,178011,0.488,2626581,0.765,2257478,0.658,664714,0.95,580777,0.834,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22
"San Diego County, CA",6073,Large central metro,"San Diego-Chula Vista-Carlsbad, CA",Metropolitan,CA,9,3338330,1,0.084,0.01,4,91421,0.027,0.011,10654,319,82,2.5,-0.37,-0.33,0.011,16887,506,122,3.7,774146,23190,4914,147,0,14,SustainedHotspot,,High,High,0.098,107791,3229,,,-0.016,-0.06,,,0.113,115204,3451,,,504,8.5,0.77,0.13,0.8,0.23,-0.26,0,-0.04,-0.02,-0.05,20,5920,646,1,1,1,1,3442993,0.95,2285488,0.685,3510,0.013,19119,0.007,2026,0.009,17093,0.007,2520,0.005,-0.0066,-0.0048,-0.0064,-0.0046,-0.003,142254,0.51,92037,0.33,3299606,0.95,2193198,0.768,243250,0.95,168052,0.722,3056356,0.95,2025146,0.772,648897,0.95,406714,0.84,0.09,0.13,0.15,2.9,0.05,0.34,0,0.12,0.56,0.277
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.01,10276,526,88,4.5,0.32,-0.22,0.005,7794,399,113,5.8,594384,30438,5467,280,0,23,SustainedHotspot,,High,High,0.09,53397,2734,,,-0.042,-0.09,,,0.131,58955,3019,,,317,7.4,0.82,0.09,0.8,0.13,-0.27,0.02,-0.03,-0.02,-0.04,15,4281,468,1,1,1,1,1641048,0.84,1368083,0.701,608,0.004,2950,0.002,263,0.002,2687,0.002,411,0.001,-0.001,-0.0008,-0.0005,-0.0008,-0.0002,45516,0.287,35303,0.223,1594943,0.948,1332711,0.792,108933,0.779,90916,0.65,1486010,0.95,1241795,0.805,370996,0.95,303339,0.907,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.584,0.605
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.008,8420,572,38,2.6,-0.02,-0.05,0.006,8569,582,40,2.7,364995,24796,3353,228,0,17,SustainedHotspot,,High,High,0.119,38108,2589,,,-0.108,0.01,,,0.226,37669,2559,,,481,11.4,0.81,0.07,0.81,0.11,-0.27,-0.01,-0.02,-0.02,-0.03,12,4228,509,1,1,1,1,1076895,0.732,905835,0.615,453,0.004,2087,0.002,217,0.002,1870,0.002,203,0.001,-0.0021,-0.0007,-0.0005,-0.0007,-0.0008,31684,0.248,25334,0.198,1045001,0.833,880473,0.701,69459,0.64,59973,0.553,975542,0.851,820500,0.716,235049,0.95,190371,0.889,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.504
"Harris County, TX",48201,Large central metro,"Houston-The Woodlands-Sugar Land, TX",Metropolitan,TX,6,4713325,0.667,0.163,0.014,3,56479,0.012,0.008,8353,177,140,3,-0.4,0.07,0.009,14034,298,131,2.8,982475,20845,10499,223,0,20,SustainedHotspot,,High,High,0.091,97409,2067,0,0.96,-0.059,-0.22,0,0,0.15,125020,2652,0,0.97,875,7.9,0.89,0.12,0.92,0.18,-0.31,0.01,-0.03,-0.01,-0.04,51,11144,1302,0.9,0.86,0.94,0.9,3451511,0.732,2937487,0.623,2213,0.005,6973,0.002,885,0.002,6088,0.002,474,0.001,-0.0008,-0.0003,-0.0004,-0.0003,-0.0001,131711,0.27,93663,0.192,3319150,0.856,2843609,0.733,298608,0.728,249134,0.607,3020542,0.871,2594475,0.748,509871,0.95,454962,0.885,0.2,0.16,0.11,2.9,0.19,0.44,0,0.07,0.724,0.557
"Orange County, FL",12095,Large central metro,"Orlando-Kissimmee-Sanford, FL",Metropolitan,FL,4,1393452,0.534,0.065,0.004,1,50190,0.036,0.008,7644,549,73,5.2,-0.04,0.28,0.005,7975,572,57,4.1,368920,26475,2533,182,0,19,SustainedHotspot,,High,High,0.126,26671,1914,,,-0.052,-0.13,,,0.177,30493,2188,,,386,8,0.93,0.1,0.92,0.15,-0.19,-0.01,-0.04,-0.03,-0.05,7,4796,482,1,1,1,1,1134037,0.814,947957,0.68,725,0.006,2826,0.002,296,0.003,2530,0.002,259,0.002,-0.0036,-0.0007,-0.0021,-0.0006,-0.0003,41571,0.349,28016,0.236,1089821,0.915,919447,0.772,86156,0.837,67354,0.654,1003665,0.923,852093,0.784,184174,0.95,160371,0.935,0.15,0.16,0.12,2.8,0.2,0.33,0,0.05,0.669,0.554
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.008,7602,379,117,5.8,-0.43,0.58,0.009,13320,665,74,3.7,537769,26841,5762,288,0,11,SustainedHotspot,,High,High,0.107,60518,3021,1,0.99,-0.089,-0.35,0,0.01,0.196,93699,4677,1,0.99,561,8.6,0.62,0.11,0.93,0.31,-0.32,0.01,-0.03,-0.02,-0.06,18,6515,612,1,1,1,1,1636838,0.817,1363230,0.68,1245,0.006,3912,0.002,453,0.003,3459,0.002,403,0.002,-0.0041,-0.0008,-0.0018,-0.0007,-0.0007,67552,0.34,43639,0.22,1569036,0.942,1319545,0.792,144429,0.854,118804,0.702,1424607,0.95,1200741,0.802,272914,0.95,231692,0.935,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.826,0.373
"Riverside County, CA",6065,Large central metro,"Riverside-San Bernardino-Ontario, CA",Metropolitan,CA,9,2470546,0.531,0.063,0.007,2,33576,0.014,0.008,7568,306,141,5.7,-0.36,0.7,0.008,11884,481,83,3.4,607114,24574,6049,245,0,13,SustainedHotspot,,High,High,0.103,66779,2703,,,-0.049,-0.03,,,0.152,69154,2799,,,312,9.1,0.81,0.15,0.79,0.24,-0.34,0.01,-0.06,-0.03,-0.07,17,3435,422,1,1,1,1,1598996,0.647,1422937,0.576,1548,0.006,5018,0.002,741,0.003,4277,0.002,481,0.001,-0.0024,-0.0008,-0.0011,-0.0008,-0.0005,54245,0.225,39793,0.165,1544329,0.745,1383036,0.667,129368,0.597,114983,0.531,1414961,0.762,1268053,0.683,340629,0.931,303993,0.831,0.1,0.15,0.15,3.3,0.06,0.5,0,0.07,0.794,0.559
