County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,NAAT positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total NAATs - last 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,NAAT positivity rate - absolute change (may be an underestimate due to delayed reporting),Total NAATs - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,NAAT positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total NAATs - previous 7 days (may be an underestimate due to delayed reporting),NAATs per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions - percent change,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12+,People initiating vaccination as % of population - last 7 days - ages 12+,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12+,People with at least 1 dose as % of population - ages 12+,People who are fully vaccinated - ages 12+,People who are fully vaccinated as % of population - ages 12+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score
"Cook County, IL",17031,Large central metro,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan,IL,5,5150233,0.545,0.406,0.016,7,135244,0.026,0.022,19511,379,97,1.9,0.33,0.03,0.018,14679,285,94,1.8,716675,13915,11702,227,6,0,SustainedHotspot,Recent,High,High,0.049,374321,7268,1,0.93,0.009,0.05,0,0,0.041,356066,6914,1,0.93,903,6.5,0.76,0.09,0.74,0.17,0.3,0.05,0.12,0.01,0.02,0,0.03,0,0.01,52,13920,1608,3099,0.96,0.9,1,0.96,3845013,0.747,3417728,0.664,24763,0.006,1959,0.005,22804,0.006,2321,0.003,-0.0048,-0.0006,-0.0051,-0.0029,3707253,0.841,3330000,0.755,274557,0.736,246029,0.66,3432696,0.85,3083971,0.764,709786,0.914,643145,0.829,0.1,0.15,0.15,2.6,0.23,0.26,0,0.08,0.676,0.734
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.015,13404,299,214,4.8,-0.22,-0.07,0.021,17209,384,229,5.1,834891,18613,13257,296,0,0,SustainedHotspot,,High,High,0.123,111466,2485,1,1,-0.014,0.02,0,0,0.137,108801,2426,1,1,1239,12.3,0.84,0.15,0.78,0.27,0.46,0.17,-0.02,0.05,0,0.07,0.03,0.01,0,42,10097,1288,1701,1,0.98,1,1,2761230,0.616,2368792,0.528,17381,0.005,1498,0.004,15883,0.005,2837,0.004,-0.0006,0,-0.0007,-0.0005,2700975,0.711,2343754,0.617,196981,0.54,164713,0.451,2503994,0.729,2179041,0.635,645646,0.927,570118,0.819,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.635,0.22
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.013,11543,425,26,1,3.34,0.24,0.003,2657,98,21,0.8,702309,25849,9234,340,2,0,Hotspot,Recent,High,Substantial,0.063,137018,5043,,,0.035,0.13,,,0.027,120742,4444,,,199,3.2,0.82,0.03,0.7,0.03,0.26,0.01,0.11,0.01,0,-0.01,0,0,0,23,6315,922,1971,1,0.91,1,1,2606994,0.95,2162881,0.796,19176,0.008,1049,0.006,18127,0.008,2773,0.006,-0.0014,-0.0009,-0.0014,-0.0018,2572108,0.95,2145514,0.913,167078,0.916,126752,0.695,2405030,0.95,2018762,0.931,512121,0.95,430425,0.95,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.818,0.814
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.013,11480,114,100,1,0.01,0.25,0.014,11360,113,80,0.8,1553366,15473,27388,273,3,0,SustainedHotspot,Recent,High,High,0.012,1076765,10726,,,-0.002,0.05,,,0.014,1028958,10249,,,584,3.3,0.79,0.04,0.75,0.09,0.26,0.02,0.14,0,0.01,0.02,0.02,0,0,91,17852,2068,5028,0.95,0.92,0.98,0.95,7699581,0.767,6654718,0.663,53029,0.006,5467,0.008,47562,0.006,6374,0.005,-0.0012,-0.0029,-0.0011,-0.0017,7508736,0.871,6540929,0.759,614254,0.847,519253,0.716,6894482,0.873,6021676,0.763,1340873,0.948,1168800,0.827,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.768,0.489
"Cuyahoga County, OH",39035,Large central metro,"Cleveland-Elyria, OH",Metropolitan,OH,5,1235072,0.603,0.106,0.004,2,31202,0.025,0.012,10646,862,38,3.1,0.62,,0.008,6566,532,0,0,184161,14911,2705,219,2,0,SustainedHotspot,Continuing,High,High,0.21,35505,2875,1,0.99,0.038,0.06,0,0,0.172,33395,2704,1,0.99,574,10.6,0.77,0.15,0.85,0.24,0.43,0.09,-0.03,-0.02,0.02,0.01,0.02,0.01,0.01,22,5396,891,1123,1,0.95,1,1,807392,0.654,747225,0.605,4165,0.004,339,0.004,3826,0.004,469,0.002,-0.0011,0.0002,-0.0013,-0.0001,787077,0.737,733628,0.687,46882,0.541,42476,0.49,740195,0.755,691152,0.705,206266,0.896,198790,0.864,0.06,0.18,0.19,2.3,0.3,0.06,0,0.03,0.681,0.393
"Kings County, NY",36047,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2559903,0.133,0.132,0.008,0,15416,0.006,0.01,8828,345,28,1.1,0.71,-0.22,0.006,5167,202,36,1.4,365241,14268,11043,431,4,0,SustainedHotspot,Continuing,High,High,0.047,186395,7281,1,0.97,0.017,0.03,0,-0.01,0.031,180659,7057,1,0.99,173,4.6,0.82,0.05,0.84,0.09,0.21,0.01,0.23,0.03,0.01,0.06,0,0.03,0,13,3772,322,1156,1,0.92,1,1,1954606,0.764,1664464,0.65,27619,0.013,1487,0.009,26132,0.013,2443,0.007,-0.0111,0.0011,-0.0122,-0.0137,1904810,0.885,1637378,0.76,117135,0.673,101638,0.584,1787675,0.903,1535740,0.776,309759,0.842,277291,0.754,0.08,0.21,0.14,2.7,0.3,0.19,0,0.12,0.815,0.912
"Suffolk County, NY",36103,Large fringe metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,1476601,0.077,0.076,0.004,2,29422,0.02,0.01,8364,566,24,1.6,0.26,0.85,0.008,6624,449,13,0.9,272396,18448,3731,253,3,0,SustainedHotspot,Recent,High,High,0.089,69660,4718,1,0.96,0.018,0.11,0,-0.01,0.07,62867,4258,1,0.97,281,9.5,0.79,0.09,0.69,0.14,0.23,0.05,0.29,0,0.02,0.01,0.03,0.01,0.01,10,2966,389,606,1,0.9,1,1,1165211,0.789,1043236,0.707,9250,0.007,658,0.006,8592,0.007,1538,0.006,-0.0009,0.0001,-0.001,-0.0023,1147669,0.896,1033791,0.807,72615,0.64,65433,0.577,1075054,0.921,968358,0.829,272529,0.95,237185,0.927,0.05,0.07,0.17,3,0.07,0.2,0,0.04,0.215,0.282
"New York County, NY",36061,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,1628706,0.085,0.084,0.005,11,178189,0.109,0.009,8232,505,8,0.5,1.6,0.33,0.004,3172,195,6,0.4,189081,11609,4681,287,7,0,SustainedHotspot,Continuing,High,High,0.042,177526,10900,1,0.98,0.022,0.22,0,-0.01,0.02,145857,8955,1,0.99,263,2.6,0.82,0.04,0.81,0.06,0.27,0.02,0.04,-0.01,0.01,0,0.01,0.01,0,15,10092,1022,2134,1,0.93,1,1,1606226,0.95,1297575,0.797,27188,0.019,860,0.013,26328,0.019,1368,0.005,-0.0236,0.0037,-0.025,-0.0304,1563313,0.95,1269777,0.867,76943,0.95,58987,0.869,1486370,0.95,1210790,0.867,274181,0.95,236339,0.856,0.06,0.17,0.17,2.1,0.12,0.26,0,0.13,0.551,0.32
"Wayne County, MI",26163,Large central metro,"Detroit-Warren-Dearborn, MI",Metropolitan,MI,5,1749343,0.405,0.175,0.005,1,25758,0.015,0.009,8189,468,132,7.5,-0.11,-0.22,0.011,9200,526,170,9.7,248586,14210,6193,354,3,0,SustainedHotspot,Recent,High,High,0.126,74938,4284,0,0.95,-0.004,-0.04,0,-0.01,0.13,77824,4449,0,0.96,595,14.1,0.89,0.2,0.82,0.31,0.43,0.13,0.07,0.01,0.02,0,0.02,0.02,0.01,18,4217,559,1075,1,0.94,1,1,958977,0.548,878819,0.502,4049,0.003,241,0.002,3808,0.003,621,0.002,-0.0001,0,-0.0002,-0.0002,958267,0.649,878371,0.595,54362,0.392,53065,0.383,903905,0.676,825306,0.617,238692,0.863,220750,0.798,0.07,0.23,0.16,2.6,0.38,0.06,0,0.04,0.872,0.72
"Queens County, NY",36081,Large central metro,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan,NY,2,2253858,0.117,0.116,0.007,2,29190,0.013,0.008,7122,316,21,0.9,0.43,-0.12,0.006,4975,221,24,1.1,340143,15092,10468,464,5,0,SustainedHotspot,Recent,High,High,0.053,134804,5981,1,0.97,0.016,0.14,0,-0.01,0.037,118234,5246,1,0.98,182,5.1,0.83,0.06,0.62,0.11,0.33,0.04,0.21,0,0.01,0,0.02,-0.04,0,7,3546,312,698,1,1,1,1,2086601,0.926,1775844,0.788,27207,0.014,1250,0.009,25957,0.014,4185,0.011,-0.0158,0.0008,-0.017,-0.0363,2037574,0.95,1754618,0.903,133970,0.95,118584,0.842,1903604,0.95,1636034,0.908,371281,0.95,314636,0.854,0.11,0.13,0.16,2.9,0.18,0.28,0,0.26,0.62,0.832
